SeqID:00000001 01171011->0117AF3A                                                  EAX=005B1BE8 ECX=00000001 EDX=0022DC48 EBX=760041B5 ESP=003DFA04 EBP=003DFA20 ESI=00000000 EDI=00000000 EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000003C ECX=00000001 EDX=00D70000 EBX=004B2CD1 ESP=003DF90C EBP=003DF9D0 ESI=01222C64 EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117AF16 EBX=0CB8CBA0 ESP=003DF90C EBP=003DF9CC ESI=01222C69 EDI=003DF90C EFLAG=00000202
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000010 ECX=00000001 EDX=0117AFB0 EBX=0CB8CB90 ESP=003DF90C EBP=003DF9CC ESI=01222C6A EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=F39260E7 ECX=00000001 EDX=0117AFB0 EBX=0CB8CB90 ESP=003DF90C EBP=003DF9CC ESI=01222C6A EDI=003DF90C EFLAG=00000203
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000001 EDX=00000203 EBX=0CB8CB2B ESP=003DF90C EBP=003DF9D0 ESI=01222C6C EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000030 ECX=00000001 EDX=008B6FA8 EBX=0CB8CB45 ESP=003DF90C EBP=003DF9D4 ESI=01222C6E EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000020 ECX=00000001 EDX=00000000 EBX=0CB8CBD0 ESP=003DF90C EBP=003DF9D8 ESI=01222C70 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000024 ECX=00000001 EDX=760041B5 EBX=0CB8CB57 ESP=003DF90C EBP=003DF9DC ESI=01222C72 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000038 ECX=00000001 EDX=003DFA20 EBX=0CB8CBCA ESP=003DF90C EBP=003DF9E0 ESI=01222C74 EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000018 ECX=00000001 EDX=00000000 EBX=0CB8CB5D ESP=003DF90C EBP=003DF9E4 ESI=01222C76 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000000 ECX=00000001 EDX=00000202 EBX=0CB8CB02 ESP=003DF90C EBP=003DF9E8 ESI=01222C78 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000034 ECX=00000001 EDX=0022DC48 EBX=0CB8CB18 ESP=003DF90C EBP=003DF9EC ESI=01222C7A EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000014 ECX=00000001 EDX=005B1BE8 EBX=0CB8CBA9 ESP=003DF90C EBP=003DF9F0 ESI=01222C7C EDI=003DF90C EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000000C ECX=00000001 EDX=00000000 EBX=0CB8CB42 ESP=003DF90C EBP=003DF9F4 ESI=01222C7E EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000004 ECX=00000001 EDX=00000001 EBX=0CB8CBE3 ESP=003DF90C EBP=003DF9F8 ESI=01222C80 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000028 ECX=00000001 EDX=E2142AB7 EBX=0CB8CB66 ESP=003DF90C EBP=003DF9FC ESI=01222C82 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000001 EDX=F5A36CD2 EBX=0CB8CBFB ESP=003DF90C EBP=003DFA00 ESI=01222C84 EDI=003DF90C EFLAG=00000216
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000000 ECX=00000001 EDX=00000202 EBX=0CB8CB47 ESP=003DF90C EBP=003DF9FC ESI=01222C86 EDI=003DF90C EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=00000202 EBX=0CB8CB47 ESP=003DF90C EBP=003DF9FC ESI=01222C86 EDI=003DF90C EFLAG=00000206
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=0CB8CB93 ESP=003DF90C EBP=003DF9FC ESI=01222C87 EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000014 ECX=00000001 EDX=005B1BE8 EBX=0CB8CB7F ESP=003DF90C EBP=003DF9F8 ESI=01222C88 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=005B1BE8 EBX=0CB8CB7F ESP=003DF90C EBP=003DF9F8 ESI=01222C88 EDI=003DF90C EFLAG=00000216
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=0CB8CBCB ESP=003DF90C EBP=003DF9F8 ESI=01222C89 EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000004 ECX=00000001 EDX=00000001 EBX=0CB8CBC7 ESP=003DF90C EBP=003DF9F4 ESI=01222C8A EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=00000001 EBX=0CB8CBC7 ESP=003DF90C EBP=003DF9F4 ESI=01222C8A EDI=003DF90C EFLAG=00000212
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=0CB8CB13 ESP=003DF90C EBP=003DF9F4 ESI=01222C8B EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000034 ECX=00000001 EDX=0022DC48 EBX=0CB8CBDF ESP=003DF90C EBP=003DF9F0 ESI=01222C8C EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0022DC48 EBX=0CB8CBDF ESP=003DF90C EBP=003DF9F0 ESI=01222C8C EDI=003DF90C EFLAG=00000212
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=0CB8CB2B ESP=003DF90C EBP=003DF9F0 ESI=01222C8D EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000024 ECX=00000001 EDX=760041B5 EBX=0CB8CB07 ESP=003DF90C EBP=003DF9EC ESI=01222C8E EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=760041B5 EBX=0CB8CB07 ESP=003DF90C EBP=003DF9EC ESI=01222C8E EDI=003DF90C EFLAG=00000206
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000004A ECX=00000001 EDX=0117AF16 EBX=0CB8CBBD ESP=003DF90C EBP=003DF9EC ESI=01222C8F EDI=003DF90C EFLAG=00000202
