SeqID:00000001 01331011->0133AF3A                                                  EAX=00E319A0 ECX=00000001 EDX=0009E208 EBX=76D341B5 ESP=001EF7FC EBP=001EF818 ESI=00000000 EDI=00000000 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=0000003C ECX=00000001 EDX=00F30000 EBX=004B2CD1 ESP=001EF704 EBP=001EF7C8 ESI=013E2C64 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133AF16 EBX=0CB8CBA0 ESP=001EF704 EBP=001EF7C4 ESI=013E2C69 EDI=001EF704 EFLAG=00000202
SeqID:00000003 0133AFB0->0133C9D8                                                  EAX=00000010 ECX=00000001 EDX=0133AFB0 EBX=0CB8CB90 ESP=001EF704 EBP=001EF7C4 ESI=013E2C6A EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=F39260E7 ECX=00000001 EDX=0133AFB0 EBX=0CB8CB90 ESP=001EF704 EBP=001EF7C4 ESI=013E2C6A EDI=001EF704 EFLAG=00000213
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000010 ECX=00000001 EDX=00000213 EBX=0CB8CB2B ESP=001EF704 EBP=001EF7C8 ESI=013E2C6C EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000030 ECX=00000001 EDX=005BAA80 EBX=0CB8CB45 ESP=001EF704 EBP=001EF7CC ESI=013E2C6E EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000020 ECX=00000001 EDX=00000000 EBX=0CB8CBD0 ESP=001EF704 EBP=001EF7D0 ESI=013E2C70 EDI=001EF704 EFLAG=00000212
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000024 ECX=00000001 EDX=76D341B5 EBX=0CB8CB57 ESP=001EF704 EBP=001EF7D4 ESI=013E2C72 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000038 ECX=00000001 EDX=001EF818 EBX=0CB8CBCA ESP=001EF704 EBP=001EF7D8 ESI=013E2C74 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000018 ECX=00000001 EDX=00000000 EBX=0CB8CB5D ESP=001EF704 EBP=001EF7DC ESI=013E2C76 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000000 ECX=00000001 EDX=00000202 EBX=0CB8CB02 ESP=001EF704 EBP=001EF7E0 ESI=013E2C78 EDI=001EF704 EFLAG=00000212
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000034 ECX=00000001 EDX=0009E208 EBX=0CB8CB18 ESP=001EF704 EBP=001EF7E4 ESI=013E2C7A EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000014 ECX=00000001 EDX=00E319A0 EBX=0CB8CBA9 ESP=001EF704 EBP=001EF7E8 ESI=013E2C7C EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=0000000C ECX=00000001 EDX=00000000 EBX=0CB8CB42 ESP=001EF704 EBP=001EF7EC ESI=013E2C7E EDI=001EF704 EFLAG=00000202
