SeqID:00000013 00A033E9->009FFBCC                                                  EAX=00A3E1D5 ECX=00840000 EDX=001FE1A1 EBX=00000034 ESP=0040FC30 EBP=00A000C5 ESI=00000000 EDI=D80F8806 EFLAG=00000212
SeqID:00000006 00A022B0->009FFBBD                                                  EAX=00A3E1B9 ECX=00A00149 EDX=00000018 EBX=00A000C9 ESP=0040FC30 EBP=00A000C5 ESI=00000000 EDI=00A022B0 EFLAG=00000206
SeqID:00000001 00A002E3->009FFBF4                                                  EAX=00AFC714 ECX=00000004 EDX=00A000C9 EBX=00A00149 ESP=0040FC30 EBP=00A000C5 ESI=00A00138 EDI=00A002E3 EFLAG=00000202
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A3E221 ECX=00000080 EDX=00A000C9 EBX=00A00149 ESP=0040FC30 EBP=00A000C5 ESI=00A000C9 EDI=00A085D5 EFLAG=00000202
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=00A0016C EDX=00000084 EBX=00A00149 ESP=0040FC34 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000216
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=00A00130 EDX=00000044 EBX=00A00149 ESP=0040FC38 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000206
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=00A00124 EDX=00000044 EBX=00A00149 ESP=0040FC3C EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000212
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=00A00161 EDX=00000084 EBX=00A00149 ESP=0040FC40 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000216
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=00A00161 EDX=00000084 EBX=00A00149 ESP=0040FC44 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000202
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=00A00145 EDX=00000084 EBX=00A00149 ESP=0040FC48 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000216
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=00A00151 EDX=00000044 EBX=00A00149 ESP=0040FC4C EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000216
SeqID:00000028 00A080D5->009FFB8C                                                  EAX=00A00138 ECX=00A00165 EDX=00000084 EBX=00A00149 ESP=0040FC50 EBP=00A000C5 ESI=00A080D5 EDI=80000000 EFLAG=00000206
SeqID:00000020 00A0451B->009FFB94                                                  EAX=00A000C5 ECX=00A00159 EDX=00A00138 EBX=00A00149 ESP=0040FC54 EBP=00A000C5 ESI=00A0451B EDI=000000C3 EFLAG=00000212
SeqID:00000022 00A0475E->009FFB9C                                                  EAX=00A3E1F9 ECX=00A00149 EDX=00A00134 EBX=00A00159 ESP=0040FC5C EBP=00A000C5 ESI=00000058 EDI=00A0475E EFLAG=00000202
SeqID:00000011 00A032AE->009FFBD9                                                  EAX=FF5FF58F ECX=00A00149 EDX=00A00138 EBX=00A00117 ESP=0040FC5C EBP=00A000C5 ESI=00A032AE EDI=00A000D5 EFLAG=00000202
SeqID:00000022 00A0475E->009FFB9C                                                  EAX=00A00117 ECX=00A00138 EDX=00000058 EBX=00A3E1F9 ESP=0040FC5C EBP=00A000C5 ESI=00A0475E EDI=00A00149 EFLAG=00000206
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=FF5FF576 ECX=00A00149 EDX=00A00138 EBX=00A00130 ESP=0040FC5C EBP=00A000C5 ESI=00A085D5 EDI=00A000D5 EFLAG=00000202
SeqID:00000022 00A0475E->009FFB9C                                                  EAX=00A00138 ECX=FF5FFF03 EDX=00000004 EBX=00A00149 ESP=0040FC58 EBP=00A000C5 ESI=00A0475E EDI=80000000 EFLAG=00000216
SeqID:00000011 00A032AE->009FFBD9                                                  EAX=FF5FF59D ECX=00A00149 EDX=00A00138 EBX=00A00109 ESP=0040FC58 EBP=00A000C5 ESI=00A032AE EDI=00A000D5 EFLAG=00000202
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00109 ECX=00A00138 EDX=00000080 EBX=00A3E221 ESP=0040FC58 EBP=00A000C5 ESI=00A085D5 EDI=00A00149 EFLAG=00000206
SeqID:00000022 00A0475E->009FFB9C                                                  EAX=00A00138 ECX=FF5FFE03 EDX=00000004 EBX=00A00149 ESP=0040FC54 EBP=00A000C5 ESI=00A0475E EDI=80000000 EFLAG=00000216
SeqID:00000011 00A032AE->009FFBD9                                                  EAX=FF5FF59D ECX=00A00149 EDX=00A00138 EBX=00A00109 ESP=0040FC54 EBP=00A000C5 ESI=00A032AE EDI=00A000D5 EFLAG=00000202
